Date,Price,Max Price,,15% drop,10% drop,5% drop,2% drop
01-07-2020,38.31536668,40.57498766,-5000,0,0,130,0
02-07-2020,39.29780802,40.57498766,-2500,0,0,0,64
02-07-2020,38.31536282,40.57498766,-5000,0,0,130,0
03-07-2020,39.29781435,40.57498766,-2500,0,0,0,64
03-07-2020,38.36449051,40.57498766,-5000,0,0,130,0
06-07-2020,39.29781009,40.57498766,-2500,0,0,0,64
06-07-2020,38.31536484,40.57498766,-5000,0,0,130,0
07-07-2020,39.10132099,40.57498766,-2500,0,0,0,64
07-07-2020,37.92238592,40.57498766,-5000,0,0,132,0
08-07-2020,39.29781164,40.57498766,-2500,0,0,0,64
08-07-2020,38.31536635,40.57498766,-5000,0,0,130,0
09-07-2020,39.2978096,40.57498766,-2500,0,0,0,64
09-07-2020,38.36448587,40.57498766,-5000,0,0,130,0
10-07-2020,39.24868858,40.57498766,-2500,0,0,0,64
10-07-2020,34.97504948,40.57498766,-10000,0,286,0,0
13-07-2020,38.36448908,40.57498766,-5000,0,0,130,0
13-07-2020,37.8241449,40.57498766,-5000,0,0,132,0
14-07-2020,39.00307752,40.57498766,-2500,0,0,0,64
14-07-2020,37.82414246,40.57498766,-5000,0,0,132,0
15-07-2020,37.82414507,40.57498766,-5000,0,0,132,0
15-07-2020,35.36803175,40.57498766,-10000,0,283,0,0
16-07-2020,37.33292234,40.57498766,-5000,0,0,134,0
16-07-2020,35.36803169,40.57498766,-10000,0,283,0,0
17-07-2020,39.78903297,40.57498766,0,0,0,0,0
17-07-2020,35.95749497,40.57498766,-10000,0,278,0,0
20-07-2020,39.05219963,40.57498766,-2500,0,0,0,64
20-07-2020,37.57853172,40.57498766,-5000,0,0,133,0
21-07-2020,39.19956998,40.57498766,-2500,0,0,0,64
21-07-2020,37.82414503,40.57498766,-5000,0,0,132,0
22-07-2020,39.19956706,40.57498766,-2500,0,0,0,64
22-07-2020,38.31536484,40.57498766,-5000,0,0,130,0
23-07-2020,39.05219938,40.57498766,-2500,0,0,0,64
23-07-2020,37.8241428,40.57498766,-5000,0,0,132,0
24-07-2020,40.28025834,40.57498766,0,0,0,0,0
24-07-2020,37.82414503,40.57498766,-5000,0,0,132,0
27-07-2020,39.29781183,40.57498766,-2500,0,0,0,64
27-07-2020,37.82414389,40.57498766,-5000,0,0,132,0
