Date,Value
2020-04-17,30.21950149536133
2020-04-17,30.15567849153296
2020-04-20,31.72728538513184
2020-04-20,31.71930598792308
2020-04-21,32.22988380030974
2020-04-21,30.14770525542816
2020-04-22,30.27534451629705
2020-04-22,28.64789446914275
2020-04-23,30.45085144042969
2020-04-23,29.00689101579649
2020-04-24,31.91077323791636
2020-04-24,28.9590261047594
2020-04-27,30.7779422487296
2020-04-27,28.24103553285537
2020-04-28,30.32321156581072
2020-04-28,29.03880547239489
2020-04-29,30.90558603847841
2020-04-29,28.97498262396368
2020-04-30,30.8736727867866
2020-04-30,29.67701882639369
2020-05-04,29.98017377553188
2020-05-04,28.75958459485084
2020-05-05,29.83657237149514
2020-05-05,27.64270684545133
2020-05-06,28.71171919181346
2020-05-06,27.45124220431348
2020-05-07,29.03880439187682
2020-05-07,26.96460233917223
2020-05-08,29.22229307587049
2020-05-08,28.00170386197999
2020-05-11,29.16644698838637
2020-05-11,27.44326540528905
2020-05-12,28.00170298961308
2020-05-12,26.97258284017666
2020-05-13,29.13453704998883
2020-05-13,27.48315473765643
2020-05-14,28.07350145610719
2020-05-14,27.27573213096719
2020-05-15,28.48036465135631
2020-05-15,27.14808833633718
2020-05-18,28.95902601759077
2020-05-18,26.37425509731903
2020-05-19,27.11618106799907
2020-05-19,25.68817322626739
2020-05-20,27.2677550101679
2020-05-20,25.68817215598726
2020-05-21,26.8928041240179
2020-05-21,26.00727965642826
2020-05-22,26.80504954017956
2020-05-22,25.85570508808835
2020-05-26,27.28371072583016
2020-05-26,25.84772659147034
2020-05-27,27.34753200581538
2020-05-27,25.96739141258038
2020-05-28,27.92192396511282
2020-05-28,26.02323228337565
2020-05-29,28.39261070624725
2020-05-29,27.54697411701136
2020-06-01,29.50151062011718
2020-06-01,29.50151062011718
2020-06-02,30.96940422058105
2020-06-02,30.32320998704478
2020-06-03,32.5170783996582
2020-06-03,32.38943542133442
2020-06-04,34.13654708862305
2020-06-04,32.70853939443755
2020-06-05,40.95748122006131
2020-06-05,36.69739249168762
2020-06-08,44.34799956988295
2020-06-08,38.45248438992289
2020-06-09,39.40980843925986
2020-06-09,35.37309429625877
2020-06-10,36.53783154467295
2020-06-10,34.97420452351295
2020-06-11,38.29292631504547
2020-06-11,34.99016190729254
2020-06-12,36.68143478966002
2020-06-12,33.52226885598563
2020-06-15,36.53783306953703
2020-06-15,35.42095788348907
2020-06-16,43.07954397480835
2020-06-16,35.97939569499424
2020-06-17,37.81426959280478
2020-06-17,36.11501997192245
2020-06-18,38.91518587572262
2020-06-18,36.15490480004473
2020-06-19,38.58012108783923
2020-06-19,37.55897743038879
2020-06-22,40.19959361084547
2020-06-22,37.89404087405927
2020-06-23,39.98419788487008
2020-06-23,38.03764181926175
2020-06-24,39.30609179702862
2020-06-24,37.01649487342517
2020-06-25,35.08589570083498
2020-06-25,30.82580724366683
2020-06-26,34.46363514771652
2020-06-26,31.91077272135818
2020-06-29,40.66230392456055
2020-06-29,35.14971794879231
2020-06-30,43.39864782901793
2020-06-30,38.29292348092824
2020-07-01,40.65432571009539
2020-07-01,37.71853423231548
2020-07-02,39.68104721974138
2020-07-02,37.49515794920521
2020-07-03,38.44450197281275
2020-07-03,37.25582740452948
2020-07-06,38.75563619023121
2020-07-06,37.53504702456671
2020-07-07,38.19719294374827
2020-07-07,36.49794357127139
2020-07-08,37.14414239534432
2020-07-08,35.89962110158649
2020-07-09,38.91518624695684
2020-07-09,36.11501728781077
2020-07-10,38.24506148513989
2020-07-10,36.69739004406823
2020-07-13,37.45527125567799
2020-07-13,36.31446085193588
2020-07-14,36.36232815378584
2020-07-14,35.26140560715285
2020-07-15,36.53783309003961
2020-07-15,35.10184896817311
2020-07-16,35.80388287121865
2020-07-16,34.3120522626172
2020-07-17,37.49515927934537
2020-07-17,34.59127934548179
2020-07-20,37.43133707758657
2020-07-20,36.37828176114414
2020-07-21,37.35155777386506
2020-07-21,35.90759426882625
2020-07-22,37.61482563186448
2020-07-22,35.66029013847067
2020-07-23,36.92874115269333
2020-07-23,36.07512825612564
2020-07-24,36.32243532028996
2020-07-24,35.46882241121922
2020-07-27,35.81984146555342
2020-07-27,34.34396648906393
2020-07-28,35.36511101616655
2020-07-28,34.7667841006115
2020-07-29,37.28774291518691
2020-07-29,34.94229894282002
2020-07-30,36.50592652914126
2020-07-30,34.9502786284489
2020-07-31,35.99535701843525
2020-07-31,34.78274707959226
2020-08-03,35.53264896423776
2020-08-03,34.67105657189854
2020-08-04,35.42096156518019
2020-08-04,34.39183833820668
2020-08-05,35.23747193036433
2020-08-05,34.46363770388503
2020-08-06,35.64433372916236
2020-08-06,34.39183613080145
2020-08-07,35.89962109281696
2020-08-07,34.7986985271943
2020-08-10,36.05917495158851
2020-08-10,33.54620030109756
2020-08-11,36.69738981744671
2020-08-11,34.90240879376725
2020-08-12,35.66028618342642
2020-08-12,34.82262907723231
2020-08-13,35.37309333493558
2020-08-13,34.55936822735807
2020-08-14,35.74006597943907
2020-08-14,34.5354356098074
2020-08-17,35.58051116200799
2020-08-17,34.65509885414159
2020-08-18,36.53783413505008
2020-08-18,34.8066761767301
2020-08-19,37.25582568319032
2020-08-19,35.57253202909114
2020-08-20,36.66547570012561
2020-08-20,35.63635258951643
2020-08-21,37.16009422247446
2020-08-21,35.92354941388146
2020-08-24,36.641544111169
2020-08-24,35.83579541573751
2020-08-25,36.23467946294704
2020-08-25,35.18960364730462
2020-08-26,35.77995367566925
2020-08-26,35.26140543070578
2020-08-27,36.76121328745446
2020-08-27,35.10185157062905
